ID,Composition,Predicted_Energy,Uncertainty,Fitness_Score,Status
0,"{'Fe': 0.03933304631049567, 'Mo': 0.1598488948152257, 'Ni': 0.8008180588742786}",-0.1194,0.0000,0.8933,Analyzed
1,"{'Mo': 0.11294571713888539, 'Ni': 0.05473769370709643, 'Cu': 0.8323165891540182}",-0.3512,0.0000,0.7401,Analyzed
2,"{'Fe': 0.002143860743435664, 'Cu': 0.6256997245605762, 'Mo': 0.37215641469598815}",-1.4820,0.0000,0.4029,Analyzed
3,"{'Cu': 0.10005012185440422, 'Fe': 0.06851957419025806, 'Ni': 0.8314303039553376}",0.0295,0.0000,0.9714,Analyzed
4,"{'Mo': 0.25489336152489817, 'Ni': 0.31985295645179, 'Cu': 0.425253682023312}",-0.8196,0.0000,0.5496,Analyzed
5,"{'Ni': 0.5548577734630068, 'Fe': 0.18918590771695454, 'Mo': 0.2559563188200386}",-0.3177,0.0000,0.7589,Analyzed
6,"{'Cu': 0.042790950038130826, 'Ni': 0.799866006325428, 'Mo': 0.157343043636441}",-0.0963,0.0000,0.9122,Analyzed
7,"{'Cu': 0.28039976838461783, 'Mo': 0.35575213068767325, 'Ni': 0.363848100927709}",0.2466,0.0000,0.8022,Analyzed
8,"{'Fe': 0.035549599642313356, 'Ni': 0.5545584041068945, 'Cu': 0.40989199625079203}",0.8552,0.0000,0.5390,Analyzed
9,"{'Mo': 0.1968598373863662, 'Cu': 0.30489913345564734, 'Ni': 0.4982410291579865}",0.5133,0.0000,0.6608,Analyzed
10,"{'Cu': 0.208052654154236, 'Fe': 0.0987801460253758, 'Ni': 0.6931671998203881}",-0.2903,0.0000,0.7750,Analyzed
11,"{'Cu': 0.5682754386286528, 'Mo': 0.24219795411670214, 'Fe': 0.18952660725464512}",-1.0564,0.0000,0.4863,Analyzed
12,"{'Ni': 0.4601440435484705, 'Cu': 0.49350906746277073, 'Fe': 0.04634688898875857}",-0.1734,0.0000,0.8522,Analyzed
13,"{'Fe': 0.17337157915558932, 'Ni': 0.6209387812334018, 'Cu': 0.20568963961100872}",0.0710,0.0000,0.9337,Analyzed
