ID,Composition,Predicted_Energy,Uncertainty,Fitness_Score,Status
0,"{'Cu': 0.7799987328163884, 'Mo': 0.22000126718361152}",-0.6405,0.0000,0.6096,Analyzed
1,"{'Mo': 0.23589316778664754, 'Cu': 0.7641068322133525}",-0.3690,0.0000,0.7305,Analyzed
2,"{'Mo': 0.015962380040270164, 'Cu': 0.9840376199597298}",0.1888,0.0000,0.8412,Analyzed
3,"{'Mo': 0.4892344558996912, 'Cu': 0.5107655441003087}",-1.5833,0.0000,0.3871,Analyzed
4,"{'Mo': 0.04883722812605962, 'Cu': 0.9511627718739404}",0.1258,0.0000,0.8883,Analyzed
5,"{'Mo': 0.2632396376021143, 'Cu': 0.7367603623978858}",-0.4218,0.0000,0.7033,Analyzed
6,"{'Cu': 0.8801629201441765, 'Mo': 0.11983707985582345}",0.5052,0.0000,0.6644,Analyzed
7,"{'Mo': 0.41178012817080634, 'Cu': 0.5882198718291936}",-0.4462,0.0000,0.6915,Analyzed
8,"{'Cu': 0.7739340861604472, 'Mo': 0.22606591383955263}",-0.3124,0.0000,0.7620,Analyzed
9,"{'Cu': 0.684010239927326, 'Mo': 0.31598976007267404}",-0.0641,0.0000,0.9397,Analyzed
10,"{'Mo': 0.3714272513489731, 'Cu': 0.628572748651027}",-1.3099,0.0000,0.4329,Analyzed
